,OBJECTID,FIPS_ADMIN,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,GMI_CNTRY,CNTRY_NAME,POP_ADMIN,TYPE_ENG,TYPE_LOC,SQKM,SQMI,COLOR_MAP,Shape_Leng,Shape_Area,tmp,HASC_1
9,1057,MX01,MEX-AGS,Aguascalientes,MX,MEX,Mexico,782890,State,Estado,5609.14,2165.69,4,2.80742497474,0.48932373832,0.123483699644,MX.AG
29,2304,MX02,MEX-BCN,Baja California,MX,MEX,Mexico,1806829,State,Estado,72725.41,28079.28,7,19.8988783459,6.83125754788,0.72026670307,MX.BS
30,2327,MX03,MEX-BCS,Baja California Sur,MX,MEX,Mexico,345682,State,Estado,72278.3,27906.65,8,26.2730352742,6.50070290084,0.880265423591,MX.BN
16,1086,MX04,MEX-CMP,Campeche,MX,MEX,Mexico,582193,State,Estado,50234.82,19395.66,6,13.5470130214,4.29405363999,0.856907899605,MX.CM
27,1182,MX05,MEX-CHP,Chiapas,MX,MEX,Mexico,3524501,State,Estado,73771.48,28483.17,10,12.8352321808,6.2231502494,0.762107488645,MX.CP
0,888,MX06,MEX-CHH,Chihuahua,MX,MEX,Mexico,2656214,State,Estado,247935.02,95727.7,12,22.6092769609,22.8909849464,0.540172820202,MX.CH
1,933,MX07,MEX-CDZ,Coahuila,MX,MEX,Mexico,2145539,State,Estado,150843.95,58240.87,2,18.9930904326,13.733654804,0.422654640591,MX.CA
21,1111,MX08,MEX-COL,Colima,MX,MEX,Mexico,466124,State,Estado,5747.09,2218.95,2,3.20790605626,0.49200626453,0.966860789585,MX.CL
22,1114,MX09,MEX-DTD,Distrito Federal,MX,MEX,Mexico,9724226,Federal District,Distrito Federal,1342.75,518.44,3,1.3128982233,0.11504785406,0.855267229834,MX.DF
5,1004,MX10,MEX-DRN,Durango,MX,MEX,Mexico,1467826,State,Estado,120674.6,46592.46,4,17.5128951728,10.7648530894,0.140376224211,MX.DU
11,1067,MX11,MEX-GNJ,Guanajuato,MX,MEX,Mexico,4332525,State,Estado,30466.18,11762.99,10,8.46088097918,2.63756783068,0.363330810576,MX.GJ
24,1120,MX12,MEX-GRR,Guerrero,MX,MEX,Mexico,2867451,State,Estado,64626.02,24952.11,7,12.4325167614,5.485793676,0.12791507447,MX.GR
15,1076,MX13,MEX-HDL,Hidalgo,MX,MEX,Mexico,2053998,State,Estado,21280.71,8216.48,6,8.5720100952,1.83721449979,0.642352579033,MX.HI
8,1051,MX14,MEX-JLS,Jalisco,MX,MEX,Mexico,5772704,State,Estado,79851.44,30830.64,8,20.9934885983,6.90002511892,0.452294241437,MX.JA
19,1098,MX15,MEX-MEX,Mexico,MX,MEX,Mexico,10662420,State,Estado,21694.38,8376.2,1,8.16952036514,1.85980451266,0.514153834926,MX.MX
18,1096,MX16,MEX-MDO,Michoacan,MX,MEX,Mexico,3859507,State,Estado,59617.63,23018.37,6,12.9629414049,5.10635737734,0.989174285525,MX.MC
23,1117,MX17,MEX-MRL,Morelos,MX,MEX,Mexico,1299939,State,Estado,5007.61,1933.44,2,2.95991319397,0.4277257498,0.576000007147,MX.MR
31,2357,MX18,MEX-NYR,Nayarit,MX,MEX,Mexico,897046,State,Estado,27481.23,10610.5,3,9.47138792237,2.39476412341,0.948916941836,MX.NA
2,976,MX19,MEX-NLE,Nuevo Leon,MX,MEX,Mexico,3370912,State,Estado,65173.05,25163.31,3,15.4261711931,5.84466810401,0.920231166368,MX.NL
25,1123,MX20,MEX-OAX,Oaxaca,MX,MEX,Mexico,3329574,State,Estado,92715.81,35797.57,12,17.160216691,7.84010271144,0.823153007808,MX.OA
17,1088,MX21,MEX-PUE,Puebla,MX,MEX,Mexico,4487672,State,Estado,34365.46,13268.5,8,13.1347714011,2.93981160802,0.648192166622,MX.PU
12,1069,MX22,MEX-QDA,Queretaro,MX,MEX,Mexico,1143544,State,Estado,12094.6,4669.73,11,5.66621056862,1.0467242079,0.399126603506,MX.QE
14,1072,MX23,MEX-QRO,Quintana Roo,MX,MEX,Mexico,536599,State,Estado,51205.79,19770.55,7,15.0427486388,4.39562746873,0.624041307292,MX.QR
7,1034,MX24,MEX-SLP,San Luis Potosi,MX,MEX,Mexico,2179006,State,Estado,64140.09,24764.49,1,13.9514243632,5.62010723375,0.106217757126,MX.SL
4,998,MX25,MEX-SIN,Sinaloa,MX,MEX,Mexico,2397706,State,Estado,57638.85,22254.36,5,16.4660508175,5.14552447649,0.873902166316,MX.SI
28,2303,MX26,MEX-SON,Sonora,MX,MEX,Mexico,1983593,State,Estado,180813.77,69812.21,9,24.7236694836,16.8427325596,0.0422297047267,MX.SO
26,1125,MX27,MEX-TBS,Tabasco,MX,MEX,Mexico,1633691,State,Estado,24081.14,9297.73,3,10.6281551771,2.0472532586,0.435539288358,MX.TB
3,978,MX28,MEX-TML,Tamaulipas,MX,MEX,Mexico,2272724,State,Estado,79502.24,30695.81,11,18.0231441299,7.05656264365,0.0748327770955,MX.TM
20,1108,MX29,MEX-TLX,Tlaxcala,MX,MEX,Mexico,828003,State,Estado,4091.04,1579.55,5,2.69151305733,0.35082674679,0.0214467845972,MX.TL
10,1058,MX30,MEX-VLL,Veracruz,MX,MEX,Mexico,6774736,State,Estado,71286.36,27523.66,9,24.0740989503,6.11366803287,0.3141477247,MX.VE
13,1071,MX31,MEX-YCT,Yucatan,MX,MEX,Mexico,1482218,State,Estado,37967.36,14659.2,8,8.59397151012,3.28431046503,0.0105859314104,MX.YU
6,1026,MX32,MEX-ZCT,Zacatecas,MX,MEX,Mexico,1383680,State,Estado,74995.58,28955.79,7,19.7127703517,6.60546001618,0.556049162723,MX.ZA
